10.92Z,Fabrication d'aliments pour animaux de compagnie,Fabrication d'aliments pour animaux de compagnie,Fab. aliments pour animaux de compagnie
11,Fabrication de boissons,Fabrication de boissons,Fabrication de boissons
11.0,Fabrication de boissons,Fabrication de boissons,Fabrication de boissons
11.01,Production de boissons alcooliques distillées,Production de boissons alcooliques distillées,Prod. de boissons alcooliques distillées
11.01Z,Production de boissons alcooliques distillées,Production de boissons alcooliques distillées,Prod. de boissons alcooliques distillées
11.02,Production de vin (de raisin),Production de vin (de raisin),Production de vin (de raisin)
11.02A,Fabrication de vins effervescents,Fabrication de vins effervescents,Fabrication de vins effervescents
11.02B,Vinification,Vinification,Vinification
11.03,Fabrication de cidre et de vins de fruits  ,Fabrication de cidre et de vins de fruits,Fabrication de cidre & de vins de fruits
11.03Z,Fabrication de cidre et de vins de fruits ,Fabrication de cidre et de vins de fruits,Fabrication de cidre & de vins de fruits
11.04,Production d'autres boissons fermentées non distillées,Production d'autres boissons fermentées non distillées,Prod. aut. boisson fermentée non distil.
11.04Z,Production d'autres boissons fermentées non distillées,Production d'autres boissons fermentées non distillées,Prod. aut. boisson fermentée non distil.
11.05,Fabrication de bière,Fabrication de bière,Fabrication de bière
11.05Z,Fabrication de bière,Fabrication de bière,Fabrication de bière
11.06,Fabrication de malt,Fabrication de malt,Fabrication de malt
11.06Z,Fabrication de malt,Fabrication de malt,Fabrication de malt
11.07,Industrie des eaux minérales et autres eaux embouteillées et des boissons rafraîchissantes,Industrie des eaux embouteillées et des boissons rafraîchissantes,Ind. eaux & boissons rafraîchissantes
11.07A,Industrie des eaux de table,Industrie des eaux de table,Industrie des eaux de table
11.07B,Production de boissons rafraîchissantes,Production de boissons rafraîchissantes,Production de boissons rafraîchissantes
12,Fabrication de produits à base de tabac,Fabrication de produits à base de tabac,Fabrication de produits à base de tabac
12.0,Fabrication de produits à base de tabac,Fabrication de produits à base de tabac,Fabrication de produits à base de tabac
12.00,Fabrication de produits à base de tabac,Fabrication de produits à base de tabac,Fabrication de produits à base de tabac
12.00Z,Fabrication de produits à base de tabac,Fabrication de produits à base de tabac,Fabrication de produits à base de tabac
